image_ID,score,Y Top,X min,Y bottom,X max,Width,Height,copyright,date,location,pano_id,status,url
gsv_152.jpg,0.9215750098228455,223,495,339,519,24,116,© Google,2019-07-01,"{'lat': 41.92678768831036, 'lng': -87.68170650084063}",u_LDItdWHTEs7hpyPBC9Mg,OK,https://maps.googleapis.com/maps/api/streetview?size=640x640&pano=u_LDItdWHTEs7hpyPBC9Mg&heading=0&pitch=0&fov=120&key=Your_API_key
gsv_152.jpg,0.8073450326919556,65,45,400,112,67,335,© Google,2019-07-01,"{'lat': 41.92678768831036, 'lng': -87.68170650084063}",u_LDItdWHTEs7hpyPBC9Mg,OK,https://maps.googleapis.com/maps/api/streetview?size=640x640&pano=u_LDItdWHTEs7hpyPBC9Mg&heading=0&pitch=0&fov=120&key=Your_API_key
gsv_153.jpg,0.9801551699638367,51,159,386,206,47,335,© Google,2019-07-01,"{'lat': 41.92678768831036, 'lng': -87.68170650084063}",u_LDItdWHTEs7hpyPBC9Mg,OK,https://maps.googleapis.com/maps/api/streetview?size=640x640&pano=u_LDItdWHTEs7hpyPBC9Mg&heading=0&pitch=0&fov=120&key=Your_API_key
gsv_157.jpg,0.9576945900917053,185,580,342,631,51,157,© Google,2019-07-01,"{'lat': 41.92678768831036, 'lng': -87.68170650084063}",u_LDItdWHTEs7hpyPBC9Mg,OK,https://maps.googleapis.com/maps/api/streetview?size=640x640&pano=u_LDItdWHTEs7hpyPBC9Mg&heading=0&pitch=0&fov=120&key=Your_API_key
gsv_157.jpg,0.789527952671051,292,573,363,591,18,71,© Google,2019-07-01,"{'lat': 41.92678768831036, 'lng': -87.68170650084063}",u_LDItdWHTEs7hpyPBC9Mg,OK,https://maps.googleapis.com/maps/api/streetview?size=640x640&pano=u_LDItdWHTEs7hpyPBC9Mg&heading=0&pitch=0&fov=120&key=Your_API_key
gsv_156.jpg,0.9339568614959717,222,347,332,408,61,110,© Google,2019-07-01,"{'lat': 41.92678768831036, 'lng': -87.68170650084063}",u_LDItdWHTEs7hpyPBC9Mg,OK,https://maps.googleapis.com/maps/api/streetview?size=640x640&pano=u_LDItdWHTEs7hpyPBC9Mg&heading=0&pitch=0&fov=120&key=Your_API_key
gsv_156.jpg,0.9182097315788269,243,351,316,370,19,73,© Google,2019-07-01,"{'lat': 41.92678768831036, 'lng': -87.68170650084063}",u_LDItdWHTEs7hpyPBC9Mg,OK,https://maps.googleapis.com/maps/api/streetview?size=640x640&pano=u_LDItdWHTEs7hpyPBC9Mg&heading=0&pitch=0&fov=120&key=Your_API_key
gsv_156.jpg,0.8438853025436401,230,379,318,394,15,88,© Google,2019-07-01,"{'lat': 41.92678768831036, 'lng': -87.68170650084063}",u_LDItdWHTEs7hpyPBC9Mg,OK,https://maps.googleapis.com/maps/api/streetview?size=640x640&pano=u_LDItdWHTEs7hpyPBC9Mg&heading=0&pitch=0&fov=120&key=Your_API_key
gsv_156.jpg,0.8151670694351196,334,339,378,351,12,44,© Google,2019-07-01,"{'lat': 41.92678768831036, 'lng': -87.68170650084063}",u_LDItdWHTEs7hpyPBC9Mg,OK,https://maps.googleapis.com/maps/api/streetview?size=640x640&pano=u_LDItdWHTEs7hpyPBC9Mg&heading=0&pitch=0&fov=120&key=Your_API_key
gsv_609.jpg,0.8818686604499817,125,253,352,342,89,227,© Google,2019-07-01,"{'lat': 41.92698780611826, 'lng': -87.68146328835627}",-kMMrJ_LX7DZgBuDfx4ktg,OK,https://maps.googleapis.com/maps/api/streetview?size=640x640&pano=-kMMrJ_LX7DZgBuDfx4ktg&heading=0&pitch=0&fov=120&key=Your_API_key
gsv_609.jpg,0.7240952849388123,191,0,481,99,99,290,© Google,2019-07-01,"{'lat': 41.92698780611826, 'lng': -87.68146328835627}",-kMMrJ_LX7DZgBuDfx4ktg,OK,https://maps.googleapis.com/maps/api/streetview?size=640x640&pano=-kMMrJ_LX7DZgBuDfx4ktg&heading=0&pitch=0&fov=120&key=Your_API_key
gsv_601.jpg,0.9909287095069885,14,133,374,207,74,360,© Google,2019-07-01,"{'lat': 41.92685439424633, 'lng': -87.68162543001252}",6jqswkdUwLhpGqM3C1qaQQ,OK,https://maps.googleapis.com/maps/api/streetview?size=640x640&pano=6jqswkdUwLhpGqM3C1qaQQ&heading=0&pitch=0&fov=120&key=Your_API_key
gsv_601.jpg,0.9102180600166321,234,397,334,422,25,100,© Google,2019-07-01,"{'lat': 41.92685439424633, 'lng': -87.68162543001252}",6jqswkdUwLhpGqM3C1qaQQ,OK,https://maps.googleapis.com/maps/api/streetview?size=640x640&pano=6jqswkdUwLhpGqM3C1qaQQ&heading=0&pitch=0&fov=120&key=Your_API_key
gsv_601.jpg,0.8512269258499146,254,404,315,415,11,61,© Google,2019-07-01,"{'lat': 41.92685439424633, 'lng': -87.68162543001252}",6jqswkdUwLhpGqM3C1qaQQ,OK,https://maps.googleapis.com/maps/api/streetview?size=640x640&pano=6jqswkdUwLhpGqM3C1qaQQ&heading=0&pitch=0&fov=120&key=Your_API_key
